event_label,tournament,player,best_odds,best_decimal,best_implied_raw,best_book,dk_odds,dk_implied_raw,avg_novig_prob
open,The Open Winner,Robert Macintyre,3000,31.0,0.032258,draftkings,3000.0,0.032258,0.024334850989117807
open,The Open Winner,Tyrrell Hatton,3000,31.0,0.032258,lowvig,3000.0,0.032258,0.023461660327140706
open,The Open Winner,Justin Rose,3300,34.0,0.029412,betmgm,3000.0,0.032258,0.021915083499248905
open,The Open Winner,Viktor Hovland,3500,36.0,0.027778,espnbet,3000.0,0.032258,0.021766233245309696
open,The Open Winner,Collin Morikawa,3500,36.0,0.027778,lowvig,2500.0,0.038462,0.020190079832667313
open,The Open Winner,Shane Lowry,4000,41.0,0.02439,lowvig,4000.0,0.02439,0.018842758803384076
open,The Open Winner,Matthew Fitzpatrick,4000,41.0,0.02439,lowvig,3500.0,0.027778,0.0179230462034195
open,The Open Winner,Christopher Gotterup,5000,51.0,0.019608,betrivers,4000.0,0.02439,0.0178172694660088
open,The Open Winner,Justin Thomas,6000,61.0,0.016393,lowvig,4500.0,0.021739,0.014761459072984024
open,The Open Winner,Cameron Young,6600,67.0,0.014925,betmgm,5000.0,0.019608,0.014695365041138964
open,The Open Winner,Hideki Matsuyama,5000,51.0,0.019608,betrivers,5000.0,0.019608,0.013759851743021483
open,The Open Winner,Jordan Spieth,5500,56.0,0.017857,betmgm,5000.0,0.019608,0.013304489748490803
open,The Open Winner,Patrick Reed,6600,67.0,0.014925,betrivers,4000.0,0.02439,0.013054246328372132
open,The Open Winner,Brooks Koepka,6600,67.0,0.014925,betrivers,6500.0,0.015152,0.01260736166446118
open,The Open Winner,Russell Henley,5500,56.0,0.017857,lowvig,5500.0,0.017857,0.012510157793131627
open,The Open Winner,Sepp Straka,5500,56.0,0.017857,lowvig,5000.0,0.019608,0.01220983494017112
open,The Open Winner,Joaquin Niemann,7000,71.0,0.014085,lowvig,6000.0,0.016393,0.011728096388975881
open,The Open Winner,Patrick Cantlay,7000,71.0,0.014085,lowvig,6000.0,0.016393,0.01157208540886786
open,The Open Winner,Corey Conners,7000,71.0,0.014085,lowvig,7000.0,0.014085,0.01079901185972271
open,The Open Winner,Si Woo Kim,8000,81.0,0.012346,betmgm,8000.0,0.012346,0.010563839364516063
open,The Open Winner,Harris English,8000,81.0,0.012346,betmgm,8000.0,0.012346,0.010271958182662725
open,The Open Winner,Sam Burns,8000,81.0,0.012346,lowvig,7000.0,0.014085,0.009726578700385718
open,The Open Winner,Marco Penge,10000,101.0,0.009901,lowvig,7000.0,0.014085,0.0088518292783937
open,The Open Winner,Harry Hall,10000,101.0,0.009901,espnbet,9000.0,0.010989,0.008188233984272162
open,The Open Winner,Ben Griffin,9000,91.0,0.010989,espnbet,8000.0,0.012346,0.00816297269076812
open,The Open Winner,Cameron Smith,10000,101.0,0.009901,lowvig,8000.0,0.012346,0.007910543511950946
open,The Open Winner,J. J. Spaun,12500,126.0,0.007937,betmgm,10000.0,0.009901,0.0077976567203309685
open,The Open Winner,Maverick Mcnealy,12500,126.0,0.007937,draftkings,12500.0,0.007937,0.007707221515292523
open,The Open Winner,Keegan Bradley,10000,101.0,0.009901,lowvig,10000.0,0.009901,0.007598584424769027
open,The Open Winner,Brian Harman,12500,126.0,0.007937,lowvig,10000.0,0.009901,0.007490411174843435
open,The Open Winner,Wyndham Clark,13500,136.0,0.007353,lowvig,10000.0,0.009901,0.007303693120350791
open,The Open Winner,Adam Scott,12500,126.0,0.007937,fanduel,10000.0,0.009901,0.0072622476627686155
open,The Open Winner,Rasmus Neergaard-Petersen,15000,151.0,0.006623,lowvig,,,0.007210565108471623
open,The Open Winner,Jason Day,12500,126.0,0.007937,lowvig,10000.0,0.009901,0.007096695672993564
open,The Open Winner,Ryan Fox,12500,126.0,0.007937,lowvig,10000.0,0.009901,0.006941788672971123
open,The Open Winner,Min Woo Lee,12500,126.0,0.007937,draftkings,12500.0,0.007937,0.006847733199737524
open,The Open Winner,Joohyung Kim,15000,151.0,0.006623,draftkings,15000.0,0.006623,0.006588192801366789
open,The Open Winner,Tony Finau,15000,151.0,0.006623,lowvig,12500.0,0.007937,0.00655860144818326
open,The Open Winner,Aaron Rai,12500,126.0,0.007937,lowvig,12500.0,0.007937,0.006540781373414364
open,The Open Winner,Akshay Bhatia,20000,201.0,0.004975,draftkings,20000.0,0.004975,0.0063637844330747765
open,The Open Winner,Will Zalatoris,13500,136.0,0.007353,lowvig,,,0.006358956437545402
open,The Open Winner,Sungjae Im,15000,151.0,0.006623,draftkings,15000.0,0.006623,0.005964523277762759
open,The Open Winner,Rasmus Hojgaard,12500,126.0,0.007937,lowvig,12500.0,0.007937,0.005911548875683031
open,The Open Winner,Jayden Trey Schaper,12500,126.0,0.007937,lowvig,,,0.005883129775076573
open,The Open Winner,Nicolai Hojgaard,15000,151.0,0.006623,lowvig,12500.0,0.007937,0.005857005465010876
open,The Open Winner,Alexander Noren,15000,151.0,0.006623,lowvig,,,0.005672879957620712
open,The Open Winner,Rickie Fowler,15000,151.0,0.006623,lowvig,15000.0,0.006623,0.005635451282366394
open,The Open Winner,David Puig,12500,126.0,0.007937,lowvig,,,0.005635370597176642
open,The Open Winner,Daniel Berger,17500,176.0,0.005682,lowvig,15000.0,0.006623,0.005208117285940732
open,The Open Winner,Angel Ayora,15000,151.0,0.006623,espnbet,,,0.005197924093178816
open,The Open Winner,Max Homa,15000,151.0,0.006623,lowvig,,,0.005174720970315368
open,The Open Winner,Haotong Li,15000,151.0,0.006623,lowvig,,,0.005096123473345122
open,The Open Winner,Dustin Johnson,20000,201.0,0.004975,lowvig,20000.0,0.004975,0.005022185043437434
open,The Open Winner,Tom McKibbin,17500,176.0,0.005682,lowvig,,,0.0049630309106340285
open,The Open Winner,Kristoffer Reitan,40000,401.0,0.002494,draftkings,40000.0,0.002494,0.004521360044676903
open,The Open Winner,Taylor Pendrith,20000,201.0,0.004975,draftkings,20000.0,0.004975,0.004517693689054127
open,The Open Winner,Louis Oosthuizen,20000,201.0,0.004975,draftkings,20000.0,0.004975,0.004488067781263399
open,The Open Winner,Carlos Ortiz,20000,201.0,0.004975,draftkings,20000.0,0.004975,0.00446259784491424
open,The Open Winner,Kurt Kitayama,15000,151.0,0.006623,lowvig,,,0.004457608370489079
open,The Open Winner,Sergio Garcia,15000,151.0,0.006623,betmgm,15000.0,0.006623,0.004218524828826873
open,The Open Winner,Sahith Theegala,20000,201.0,0.004975,draftkings,20000.0,0.004975,0.004205772926342229
